,breed,summary,image,conservation_status,kingdom,phylum,order,family,binomial_name
0,Black-bellied whistling-duck,"The black-bellied whistling-duck (Dendrocygna autumnalis), formerly called the black-bellied tree duck, is a whistling duck that breeds from the southernmost United States and tropical Central to south-central South America. In the USA, it can be found year-round in peninsular Florida, parts of southeast Texas, and seasonally in southeast Arizona, and Louisiana's Gulf Coast. It is a rare breeder in such disparate locations as Arkansas, Georgia, Tennessee, and South Carolina, though it is now a common breeder in parts of central Florida. There is a large population of several hundred that winter each year in Audubon Park in uptown New Orleans, Louisiana. Since it is one of only two whistling-duck species native to North America, it is occasionally just known as the ""whistling duck"" or ""Mexican squealer"" in the southern USA.",https://upload.wikimedia.org/wikipedia/commons/2/25/Whistling_duck_flight02_-_natures_pics-edit1.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Dendrocygna autumnalis
1,Fulvous whistling-duck,"The fulvous whistling duck or fulvous tree duck (Dendrocygna bicolor) is a species of whistling duck that breeds across the world's tropical regions in much of Mexico and South America, the West Indies, the Southern United States, sub-Saharan Africa and the Indian subcontinent. It has plumage that is mainly reddish brown, long legs and a long grey bill, and shows a distinctive white band across its black tail in flight. Like other members of its ancient lineage, it has a whistling call which is given in flight or on the ground. Its preferred habitat consists of wetlands with plentiful vegetation, including shallow lakes and paddy fields.
The nest, built from plant material and unlined, is placed among dense vegetation or in a tree hole. The typical clutch is around ten whitish eggs. The breeding adults, which pair for life, take turns to incubate, and the eggs hatch in 24–29 days. The downy grey ducklings leave the nest within a day or so of hatching, but the parents continue to protect them until they fledge around nine weeks later.
The fulvous whistling duck feeds in wetlands by day or night on seeds and other parts of plants. It is sometimes regarded as a pest of rice cultivation, and is also shot for food in parts of its range. Despite hunting, poisoning by pesticides and natural predation by mammals, birds, and reptiles, the large numbers and huge range of this duck mean that it is classified as least concern by the International Union for Conservation of Nature.

",https://upload.wikimedia.org/wikipedia/commons/2/24/Dendrocygna_bicolor_wilhelma.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Dendrocygna bicolor
2,Emperor goose,"The emperor goose (Anser canagicus), also known as the beach goose or the painted goose, is a waterfowl species in the family Anatidae, which contains the ducks, geese, and swans. It is blue-gray in color as an adult and grows to 66–71 centimetres (26–28 in) in length. Adults have a black chin and throat, a pink bill, yellow-orange legs, and a white head, which often turns reddish-brown in summer. In the winter, the emperor goose lives in mudflats and coasts in Alaska and occasionally Canada and the contiguous United States. In the summer, it migrates northerly several hundred miles to arctic and sub-arctic climates, where older specimens breed monogamously. Nests are constructed in holes and built up with vegetation and feathers. Eggs hatch in late June and early July, and goslings leave the nest the day they hatch. The species is an omnivore, and makes vocalizations that are more nasal than those of other geese. Listed as near threatened by the International Union for Conservation of Nature, the species' population is declining due to threats such as pollution, hunting, and climate change.",https://upload.wikimedia.org/wikipedia/commons/1/15/Emperor.goose.arp.750pix.jpg,Near Threatened,Animalia,Chordata,Anseriformes,Anatidae,Anser canagicus
3,Snow goose,"The snow goose (Anser caerulescens), consisting of both a white morph and dark morph (blue goose), is a North American species of goose commonly collectively referred to as ""light geese"". Its name derives from the typically white plumage. Many taxonomic authorities placed this species and the other ""white geese"" in the genus Chen. Most authorities now follow the traditional treatment of placing these species in the ""gray goose"" genus Anser. The scientific name is from the Latin anser, ""goose"", and  caerulescens, ""bluish"", derived from caeruleus , ""dark blue"".This goose breeds north of the timberline in Greenland, Canada, Alaska, and the northeastern tip of Siberia, and spends winters in warm parts of North America from southwestern British Columbia through parts of the United States to Mexico. They fly as far south as Texas and Mexico during winter, and return to nest on the Arctic tundra each spring. It is a rare vagrant to Europe, but for a frequent escape from collections and an occasional feral breeder. Snow geese are visitors to the British Isles where they are seen regularly among flocks of barnacle, Brent and Greenland white-fronted geese. There is also a feral population in Scotland from which many vagrant birds in Britain seem to derive.
In Central America, vagrants are frequently encountered during winter.",https://upload.wikimedia.org/wikipedia/commons/1/1f/Snow_goose_in_Central_Park_%2833138%29.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anser caerulescens
4,Ross's goose,"Ross's goose (Anser rossii) is a white goose with black wingtips and a relatively short neck, and is the smallest of the three light geese that breed in North America. It is similar in appearance to a white-phase snow goose, but about 40% smaller. Other differences from the snow goose are that the bill is smaller in proportion to its body and lacks ""black lips"". The dark phase is extremely rare.
Before the early 1900s, this goose was considered a rare species, possibly as a consequence of open hunting, but numbers have increased dramatically as a result of conservation measures. It is now listed as a species of Least Concern by the IUCN, and is protected by the Migratory Bird Treaty Act.
The Ross's goose is named in honor of Bernard R. Ross, who was associated with the Hudson’s Bay Company in Canada’s Northwest Territories. Members of the Hudson's Bay Company were the first to discover the arctic nesting grounds of Ross's geese in 1940.",https://upload.wikimedia.org/wikipedia/commons/4/4b/Ross%27s_Goose_%28Chen_rossii%29_%2823321411711%29.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anser rossii
5,Greylag goose,"The greylag goose (Anser anser) is a species of large goose in the waterfowl family Anatidae and the type species of the genus Anser. It has mottled and barred grey and white plumage and an orange beak and pink legs. A large bird, it measures between 74 and 91 centimetres (29 and 36 in) in length, with an average weight of 3.3 kilograms (7.3 lb). Its distribution is widespread, with birds from the north of its range in Europe and Asia migrating southwards to spend the winter in warmer places. It is the type species of the genus Anser and is the ancestor of the domestic goose, having been domesticated at least as early as 1360 BC. The genus name is from anser, the Latin for ""goose"".Greylag geese travel to their northerly breeding grounds in spring, nesting on moorlands, in marshes, around lakes and on coastal islands. They normally mate for life and nest on the ground among vegetation. A clutch of three to five eggs is laid; the female incubates the eggs and both parents defend and rear the young. The birds stay together as a family group, migrating southwards in autumn as part of a flock, and separating the following year. During the winter they occupy semi-aquatic habitats, estuaries, marshes and flooded fields, feeding on grass and often consuming agricultural crops. Some populations, such as those in Southern England and in urban areas across the species' range, are primarily resident and occupy the same area year-round.

",https://upload.wikimedia.org/wikipedia/commons/5/57/Greylag_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anser anser
6,Greater white-fronted goose,"The greater white-fronted goose (Anser albifrons) is a species of goose related to the smaller lesser white-fronted goose (A. erythropus). It is named for the patch of white feathers bordering the base of its bill, in fact albifrons comes from the Latin albus ""white"" and frons"" forehead "".  In Europe it has been known as the ""white-fronted goose""; in North America it is known as the greater white-fronted goose (or ""greater whitefront""), and this name is also increasingly adopted internationally. Even more distinctive are the salt-and-pepper markings on the breast of adult birds, which is why the goose is colloquially called the ""specklebelly"" in North America.",https://upload.wikimedia.org/wikipedia/commons/4/4f/Anser_albifrons_30050.JPG,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anser albifrons
7,Taiga bean-goose,"The taiga bean goose (Anser fabalis) is a goose that breeds in northern Europe and Asia. This and the tundra bean goose are recognised as separate species by the American Ornithological Society and the International Ornithologists' Union, but are considered a single species by other authorities (collectively called bean goose), such as the British Ornithologists' Union. It is migratory and winters further south in Europe and Asia.",https://upload.wikimedia.org/wikipedia/commons/1/15/Bean.goose.600pix.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anser fabalis
8,Tundra bean-goose,"The  tundra bean goose (Anser serrirostris) is a goose that breeds in northern Siberia. This and the taiga bean goose are recognised as separate species by the American Ornithological Society and International Ornithologists' Union, but are considered a single species by other authorities (collectively called bean goose), such as the British Ornithologists' Union. It is migratory and winters further south in Asia.",https://upload.wikimedia.org/wikipedia/commons/f/f9/Tundra_Bean_Goose.jpg,,Animalia,Chordata,Anseriformes,Anatidae,Anser serrirostris
9,Pink-footed goose,"The pink-footed goose (Anser brachyrhynchus) is a goose which breeds in eastern Greenland, Iceland and Svalbard. It is migratory, wintering in northwest Europe, especially Ireland, Great Britain, the Netherlands, and western Denmark. The name is often abbreviated in colloquial usage to ""pinkfoot"" (plural ""pinkfeet""). Anser is the Latin for ""goose"", and brachyrhynchus comes from the ancient Greek brachus ""short"" and rhunchos ""bill"".It is a medium-sized goose, 60–75 cm (24–30 in) long, the wingspan 135–170 cm (53–67 in), and weighing 1.8–3.4 kg (4.0–7.5 lb). It has a short bill, bright pink in the middle with a black base and tip, and pink feet. The body is mid-grey-brown, the head and neck a richer, darker brown, the rump and vent white, and the tail grey with a broad white tip. The upper wing-coverts are of a somewhat similar pale bluish-grey as in the greylag goose, and the flight feathers blackish-grey. The species is most closely related to the bean goose Anser fabalis (having even been treated as a subspecies of it at times in the past), sharing a similar black-and-coloured pattern bill, but differing in having pink on the bill and legs where the bean goose is orange, and in the paler, greyer plumage tones. It is similar in size to the small rossicus subspecies of bean goose, but distinctly smaller than the nominate subspecies fabalis. It produces a medley of high-pitched honking calls, being particularly vocal in flight, with large skeins being almost deafening.",https://upload.wikimedia.org/wikipedia/commons/f/fe/Anser_brachyrhynchus.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anser brachyrhynchus
