,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
1,Affenpinscher,"The Affenpinscher , also known as the Monkey Terrier, is a terrier-like toy Pinscher breed of dog.

",https://upload.wikimedia.org/wikipedia/commons/1/17/Affenpinscher.jpg,,Affen<br />Affie<br />Monkey Dog,[[Germany]],{{convert|6.5|&ndash;|13.2|lb|kg|abbr|=|on}},{{convert|9|&ndash;|12|in|cm|abbr|=|on}},Wire,"Black, grey, silver, red, black and tan, or beige (mixed black, white, brown and red hairs), all with or without black mask",11&ndash;14&nbsp;years
2,Afghan Hound,"The Afghan Hound is a hound that is distinguished by its thick, fine, silky coat and its tail with a ring curl at the end. The breed is selectively bred for its unique features in the cold mountains of Afghanistan. Its local name is Tāžī Spay (Pashto: تاژي سپی‎) or Sag-e Tāzī (Dari Persian: سگ تازی). Other names for this breed areTāzī, Balkh Hound, Baluchi Hound, Barakzai Hound, Shalgar Hound, Kabul Hound, Galanday Hound or sometimes incorrectly African Hound. They have the power to run and turn well. They are also 64 to 69 centimeters tall and weigh 23 to 27 kilograms.

",https://upload.wikimedia.org/wikipedia/commons/6/69/Afghane.jpg,"Tazi, Tazhi Spay, Da Kochyano Spay, Sage Balochi, Ogar Afgan, Barakzai Hound, Eastern Greyhound/Persian Greyhound",,[[Afghanistan]],{{convert|20|–|27|kg|lb|abbr|=|on}},{{convert|61|-|73|cm|in|abbr|=|on}},Long and fine,"Fawn, Gold, Brindle, White, Red, Cream, Blue, Gray and Tricolor",11–13 years
3,Kuchi dog,"The Kuchi or Afghan Shepherd is an Afghan livestock guardian dog, taking its name from the Kuchi people of Afghanistan. It is a working dog following the nomads, protecting caravans and flocks of sheep, goats, camels and other livestock from wolves, big cats and thieves. It is sometimes known as just a local variant of the Central Asian Shepherd Dog and its status as a distinct breed is disputable.
Sage Kuchi or Sage Jangi is the standard Persian name and the Pashto name is De Kochyano Spai or Jangi Spai, meaning ""Dog of the Nomads"" and ""Fighter Dog"". It is found around the central and northern parts of Afghanistan.  This mountain dog shares similar genetic background to the Central Asian Ovtcharka (CAO).
Because the dog is intricately associated with nomad life in remote and rugged regions where Western breeding techniques are not used, it is difficult to identify a ""true"" Kuchi type dog.  Warfare and general unrest in the region has also affected the Kuchi people, of whom many have settled around cities, creating ample opportunity for the Kuchi to interbreed with other dogs. There is no organizing body for dogs in Afghanistan and some Kuchi dogs have been exported to Europe.

",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Sage Kuchi<br> Sage Jangi<br>De Kochyano Spai<br>Jangi Spai<br>Afghan Shepherd,Kuchi Dog<br>Afghan Mastiff,[[Afghanistan]],,,,,
4,Aidi,"The Aidi (from Tamazight ⴰⵢⴷⵉ, aydi, ""dog"") is a North African dog breed used as a livestock guardian, protecting herds of sheep and goats. It also possesses hunting capabilities and good scenting ability. In its native North Africa, it is often paired in hunting with the Sloughi, which chases down prey that the Aidi has located by scent.

",https://upload.wikimedia.org/wikipedia/commons/e/e8/Aidi.jpg,Aïdi<br />Atlas Mountain Dog<br />Atlas Shepherd Dog<br />Berber Dog<br />Chien de l'Atlas<br />Chien de Montagne de l'Atlas,Kabyle Dog,"Morocco, Algeria, and",{{convert|55|lb|kg}},{{convert|52|&ndash;|62|cm|in|abbr|=|on}},"Thick, medium-length","Black, brown, brindle, cream or cream sable, or red or red sable, all with or without black mask or any amount of white",
5,Airedale Terrier,"The Airedale Terrier (often shortened to ""Airedale""), also called Bingley Terrier and Waterside Terrier, is a dog breed of the terrier type that originated in the valley (dale) of the River Aire, in the West Riding of Yorkshire, England.  It is traditionally called the ""King of Terriers"" because it is the largest of the terrier breeds.  The Airedale was bred from the Old English Black and Tan Terrier (now known as the Welsh Terrier), the Bull Terrier, the Otterhound and probably some other Terrier breeds, originally to serve as a versatile hunting and all around working farm dog.  In Britain this breed has also been used as a war dog, guide dog and  police dog.  In the United States, this breed has been used to hunt big game, upland birds, and water fowl, and serve in many other working capacities.",https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg,Waterside Terrier<br>Bingley Terrier,Airedale<br>King of Terriers,[[United Kingdom]],{{convert|40|-|50|lb|kg}},{{convert|22|-|24|in|cm}},Broken,"Black saddle with tan ears, legs, and head; dark grizzle saddle (black mixed with gray and white)",10-12 years
6,Akbash,"The Akbash Dog (from Turkish: Akbaş 'white head' ) is native to Turkey, and it is primarily used as a livestock guardian dog or shepherd dog. It is officially recognized by the KIF, a.k.a. the Turkish Kennel Club. This dog is one of the national dog breeds of Turkey.",https://upload.wikimedia.org/wikipedia/commons/5/5d/Akbash_Dog_male_2016.jpg,<br />Akbaş Çoban Köpeği,,[[Turkey]],{{convert|90|&ndash;|140|lb|kg|abbr|=|on}},{{convert|28|&ndash;|32|in|cm|abbr|=|on}},Medium or long double coat,White,11 years
7,Akita (dog),"The Akita (秋田犬, Akita-inu, Japanese pronunciation: [akʲita.inɯ]) is a medium breed of dog originating from the mountainous regions of northern Japan. There are two separate varieties of Akita: a Japanese strain, commonly called ""Akita Inu"" (""inu"" means ""dog"" in Japanese), or ""Japanese Akita""; and an American strain, known as the ""Akita"" or ""American Akita"". The Japanese strain comes in a narrow palette of colors, with all other colors considered atypical of the breed, while the American strain comes in all dog colors. The Akita has a short double-coat similar to that of many other northern spitz breeds such as the Siberian Husky, but long-coated dogs can be found in many litters due to a recessive gene.
The Akita is a powerful, independent and dominant breed, commonly aloof with strangers but affectionate with family members. As a breed, Akitas are generally hardy, but they have been known to be susceptible to various genetic conditions and can be sensitive to certain drugs.
In all countries except the United States, the Japanese and American strains of Akita are considered two separate breeds. In the United States, however, the two strains are considered a single breed with differences in type. For a while, the American strain of Akita was known in some countries as the ""Great Japanese Dog"". Both forms of Akita are probably best known worldwide from the true story of Hachikō, a loyal Akita who lived in Japan before World War II.[1]",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg,Akita Inu<br />Japanese Akita<br />Great Japanese Dog,,[[Japan]],Akita Inu: {{convert|60|-|90|lb|kg}} ; American Akita: {{convert|80|-|110|lb|kg}},Akita Inu: {{convert|25|-|27|in|cm}} ; American Akita: {{convert|26|-|28|in|cm}},Akita Inu: Double coat; American Akita: Double coat,"Akita Inu: Ginger,Red, brindle, or white, all with white fur on the ventral areas of the dog ( genetics variants can include black & grey )(urajiro); American Akita: All sable colors usually with black mask and pinto markings",10 years
8,Alano Español,"Alano Español (English: Spanish Alaunt) is a large breed of dog of the molosser dog type, originating in Spain. The breed is best known for its former use during Spanish bullfights.",https://upload.wikimedia.org/wikipedia/commons/0/0f/Alano-espanol-0003.jpg,Spanish Alaunt<br>Spanish Bulldog<br>Spanish Alano,Alano,[[Spain]],{{convert|75|-|88|lb|kg}},{{convert|23|-|25|in|cm}},Short and thick,"Any kind of brindle; leonardo (fawn); black and brindle; sable wolf , blue",11-14 yrs
9,Alapaha Blue Blood Bulldog,"The Alapaha Blue Blood Bulldog is a rare dog breed from Alapaha, Georgia.",https://upload.wikimedia.org/wikipedia/commons/a/a3/Alapaha_Blue-Blood_Bulldog.jpg,Otto,,{{US}},,,,,12-15 years
10,Alaskan husky,"The Alaskan husky is not considered a pure breed. It is defined only by its purpose, which is that of a highly efficient sled dog. The husky is a blend of various Northern breeds, chosen particularly for skills such as pulling. Specializations in type exist within the category, such as freighting dogs (Mackenzie River husky, Malamute), sprint Alaskans (Eurohound), and distance Alaskans.
The Alaskan husky is the sled dog of choice for world-class dog sled racing. None of the purebred northern breeds can match it for sheer racing speed. Sprint-racing events such as the Fairbanks, Alaska Open North American Championship and the Anchorage Fur Rendezvous are invariably won by teams of Alaskan huskies, or Alaskans crossed with hounds or gun dogs. Hounds are valued for their speed and endurance. Winning sprint racing speeds often average more than 19 miles per hour (31 km/h) over three days' racing at 20 to 30 miles (32 to 48 km) each day.
Huskies that fulfill the demanding performance standards of world-class dogsled racing are extremely valuable. A top-level racing lead dog can be worth $3,000–$10,000. Alaskans that fail to meet the performance standards of the musher who bred them often go on to be sold to less competitive mushers, allowing them to continue to run.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Idol_swingley.jpg,,,[[Alaska]] ([[United States]]),{{convert|40|-|60|lb|kg}},,,"Any possible color and markings; may be black, blonde, white, orange, or gray",10 to 15 years
11,Alaskan Klee Kai,"The Alaskan Klee Kai is a spitz-type breed of dog, developed in the late 20th century as a companion-sized dog resembling the larger Alaskan husky (a mixed breed of dog used for sled racing). It is an energetic, intelligent dog with an appearance that reflects its northern heritage. Bred in three sizes, its weight range is from 5 to 22 pounds as an adult.

",https://upload.wikimedia.org/wikipedia/commons/5/54/WOWAKK-Kukai-Alaskan-Klee-Kai.jpg,Klee Kai,,[[United States]],Toy: up to {{convert|9|lb|kg|abbr|=|on}} ; <br>Miniature: {{convert|10|-|15|lb|kg|abbr|=|on}} ; <br>Standard: {{convert|16|-|22|lb|kg|abbr|=|on}} ;,Toy: up to {{convert|13|in|cm|abbr|=|on}} ; <br>Miniature: {{convert|13|-|15|in|cm|abbr|=|on}} ; <br>Standard: {{convert|15|-|17|in|cm|abbr|=|on}} ;,Standard or full-coated,"Black and white, gray and white, red and white and pure white.",12–16 years
12,Alaskan Malamute,"The Alaskan Malamute  is a large breed of domestic dog (Canis lupus familiaris) originally bred for their strength and endurance to haul heavy freight, and later as a sled dog. They are similar to other arctic breeds and spitz breeds, such as the Greenland Dog, Canadian Eskimo Dog, the Siberian Husky, and the Samoyed.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,Mal or Mally,[[United States]] ([[Alaska]]),{{convert|130|lb|0}},{{convert|25|in|cm}},"Thick, a double coat, with plush undercoat","Gray, sable, black, or red, always with white, as well as all white",up to 16 years
13,Alaunt,"The Alaunt is an extinct breed of dog, with the original breed having existed in North Caucasus, Central Asia and Europe from ancient times through the 17th century.",https://upload.wikimedia.org/wikipedia/commons/c/cd/Alaunt_in_Adorazione_dei_Magi_by_Gentile_da_Fabriano.jpg,Alão<br>Alano,,,,,,,
14,Alopekis,"Alopekis is an ancient Greek breed of dog. The name Alopekis means “small fox” or “fox-like” in the Greek language. The breed is mentioned by several ancient Greek and classical writers such as Aristotle, Xenophon, and Aristophanes, and is depicted in many archaeological finds such as pottery, carvings, statuettes, sculpture, and tomb monuments.

",https://upload.wikimedia.org/wikipedia/commons/d/dd/Alopekis_drawing.jpg,Alopecis,"Alepouditsa, Bobis, Bouboudi, Moropa, Venetaki",{{flag|Greece}},8–18 pounds (4–8 kg),10–13 inches (25–32 cm),"double, three varieties (short, hard and flat, medium and harsh, medium and wire)","all colors and combinations of colors except albino. Usually white, off-white, light fawn, black, black and white or parti-color (white with patches of fawn, black, brindle or other colors)",up to 18 years or more
15,Alpine Dachsbracke,"The Alpine Dachsbracke (ger. Alpenländische Dachsbracke) is a small breed of dog of the scent hound type originating in Austria. The Alpine Dachsbracke was bred to track wounded deer as well as boar, hare, and fox. It is highly efficient at following a trail even after it has gone cold. The Alpine Dachsbracke is very sturdy, and Austria is said to be the country of origin.

",https://upload.wikimedia.org/wikipedia/commons/2/23/Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg,Alpenländische Dachsbracke,,[[Austria]],{{convert|33|to|40|lb|kg}},{{convert|13|to|16|in|cm}},"Dense, short, smooth","Dark deer red, sometimes black hairs",About 12 years
16,Alpine Mastiff,"The Alpine Mastiff is an extinct Molosser dog breed, the progenitor of the St. Bernard, and a major contributor to the modern Mastiff (through such dogs as ""Couchez""), as well as to other breeds that derive from these breeds or are closely related to them. M.B. Wynn wrote, ""In 1829 a vast light brindle dog of the old Alpine mastiff breed, named L'Ami, was brought from the convent of Great St. Bernard, and exhibited in London and Liverpool as the largest dog in England."" William Cavendish, 5th Duke of Devonshire, is believed to have bred Alpine Mastiffs at Chatsworth House.
The names ""Alpine Mastiff"" and ""Saint Bernard"" were used interchangeably in the early 19th century, though the variety that was kept at the hospice at the Great St. Bernard Pass was significantly altered by introducing other breeds, including Newfoundland and Great Dane, and it is this composite breed that now carries the name St. Bernard. Inevitably these mountain dogs filtered through to the wider population, and the original variety dwindled in its pure form, though a rare breed, the ""Cane Garouf"" or ""Patua"", found in the part of the Alps formerly inhabited by the Alpine Mastiff, may also descend from the extinct breed.
The Alpine Mastiff was, along with the Tibetan Mastiff and Caucasian Shepherd Dog, one of the earliest breeds of dog to reach truly gigantic size. It was one of the very first true mastiffs, originating in northern Europe before 500 B.C. The largest individuals may have reached more than 1 m (39 in) tall at the shoulder and weighed 160 kg (350 lb) or more, surpassing the modern Saint Bernard and English Mastiff in size. Beginning in the 1970s, there have been some efforts to breed back the Alpine Mastiff, mainly by using breeds such as the Saint Bernard, Great Dane, Great Pyrenees and Bernese Mountain Dog.",https://upload.wikimedia.org/wikipedia/commons/6/68/1815_Alpine_Mastiff.jpg,,,,,,,,
17,Alpine Spaniel,"The Alpine Spaniel is an extinct breed of dog which was used in mountain rescues by the Augustinian Canons, who run hospices in the region around the Great St. Bernard Pass. The spaniel was a large dog notable for its thick curly coat. One of the most famous specimens of the Alpine Spaniel is Barry, however his preserved body has been modified on more than one occasion to fit with descriptions of the extinct breed from earlier time periods. Due to the conditions in the Alps, and a series of accidents, extinction was discussed as a possibility by authors during the 1830s, and at some point prior to 1847 the entire breed was reduced to a single example due to disease. Evidence held at the Natural History Museum in Bern show that two distinct breeds of dog were being used in the area during this time period. The breed is thought to be the predecessor to the modern St. Bernard and the Clumber Spaniel.",https://upload.wikimedia.org/wikipedia/commons/0/07/Alpine_spaniel.jpg,Alpine Spaniel of St.Bernard<br>Bernardine Dog,,[[Switzerland]] and [[Savoy]],,,,,
19,American Bully,"The American Bully is a recently formed companion dog breed, originally recognized by the American Bully Kennel Club (ABKC). It has been recognized by the United Kennel Club (UKC) since July 15, 2013. It is a small to large breed which has been divided into four categories; Pocket, Standard, Classic and XL.",https://upload.wikimedia.org/wikipedia/commons/6/63/Champion_Charlie_Muscles_%282%29.jpg,,Am. Bully<br/>Bully,United States,{{convert|30|-|40|kg|lb|abbr|=|on}},{{convert|33|-|50|cm|in|abbr|=|on}},"Short, smooth and glossy","All colors, except merle",8-12 years
