,name,image
0,Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/400px-Affenpinscher.jpg
1,Afghan Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Afghan_Hound.jpg/400px-Afghan_Hound.jpg
2,Afghan Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Afghan_Shepherd.jpg/400px-Afghan_Shepherd.jpg
3,Aidi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/400px-Aidi.jpg
4,Airedale Terrier,https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg
5,Akbash,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/400px-Akbash_Dog_male_2016.jpg
6,Akita,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Akita_Inu_Fond_Blanc.jpg/400px-Akita_Inu_Fond_Blanc.jpg
7,Alano Español,https://upload.wikimedia.org/wikipedia/commons/0/0f/Alano-espanol-0003.jpg
8,Alapaha Blue Blood Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/400px-Alapaha_Blue-Blood_Bulldog.jpg
9,Alaskan husky,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Idol_swingley.jpg/400px-Idol_swingley.jpg
10,Alaskan Klee Kai,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/WOWAKK-Kukai-Alaskan-Klee-Kai.jpg/400px-WOWAKK-Kukai-Alaskan-Klee-Kai.jpg
11,Alaskan Malamute,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Alaskanmalamute0b.jpg/400px-Alaskanmalamute0b.jpg
12,Alaunt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Jacopo_del_Sallaio.jpg/400px-Jacopo_del_Sallaio.jpg
13,Alopekis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Oropedia_Anavras_1_%282%29_%28Medium%29.jpg/400px-Oropedia_Anavras_1_%282%29_%28Medium%29.jpg
14,Alpine Dachsbracke,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg/400px-Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg
15,Alpine Mastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/1815_Alpine_Mastiff.jpg/400px-1815_Alpine_Mastiff.jpg
16,Alpine Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Alpine_spaniel.jpg/400px-Alpine_spaniel.jpg
17,American Akita,https://upload.wikimedia.org/wikipedia/commons/5/5d/American_akita.jpg
18,American Bully,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Jaxson_-_American_Bully_Pocket_Male_%288599222904%29.jpg/400px-Jaxson_-_American_Bully_Pocket_Male_%288599222904%29.jpg
19,American Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saylor%27s_Doc_Holliday.jpg/400px-Saylor%27s_Doc_Holliday.jpg
20,American Cocker Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/American_Cocker_in_Tallinn_2.JPG/400px-American_Cocker_in_Tallinn_2.JPG
21,American English Coonhound,https://upload.wikimedia.org/wikipedia/commons/2/28/English_Coonhound.jpg
22,American Eskimo Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/American_Eskimo_Dog.jpg/400px-American_Eskimo_Dog.jpg
23,American Foxhound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/AmericanFoxhound2.jpg/400px-AmericanFoxhound2.jpg
24,American Hairless Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/TagnonPond9-6-03.jpg/400px-TagnonPond9-6-03.jpg
25,American Leopard Cur,https://upload.wikimedia.org/wikipedia/commons/7/78/Lep2.jpg
26,American Pit Bull Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/American_Pit_Bull_Terrier_-_Seated.jpg/400px-American_Pit_Bull_Terrier_-_Seated.jpg
